restaurantid,name,address,city,state,country,postalCode,coordinates,stars,priceRange,cuisine
,Barbetta Restaurant,319321 323 W. 46Th St.,Manhattan,,US,10036.0,"(-73.988948, 40.760337)",,,Italian
,New York Pizza Suprema,413 8 Avenue,Manhattan,,US,10001.0,"(-73.99532099999999, 40.750205)",,,Pizza
,Patsy'S Italian Restaurant,236 West   56 Street,Manhattan,,US,10019.0,"(-73.9827418, 40.7655827)",,,Italian
,Hop Kee Restaurant,21 Mott Street,Manhattan,,US,10013.0,"(-73.9990337, 40.7143954)",,,Chinese
,Parkside Restaurant,10701 Corona Avenue,Queens,,US,11368.0,"(-73.856132, 40.743841)",,,Italian
,Fifth Avenue Bingo,416 5 Avenue,Brooklyn,,US,11215.0,"(-73.98586209999999, 40.67017250000001)",,,American
,Denino'S Pizzeria Tavern,524 Port Richmond Avenue,Staten Island,,US,10302.0,"(-74.1402105, 40.6301893)",,,Pizza/Italian
,Michael'S Restaurant,2929 Avenue R,Brooklyn,,US,11229.0,"(-73.942849, 40.6076256)",,,Italian
,Killarney Rose,80 Beaver Street,Manhattan,,US,10005.0,"(-74.0086833, 40.7052024)",,,Irish
,Emilio Iii Bar,4218 Junction Boulevard,Queens,,US,11368.0,"(-73.8682701, 40.745683)",,,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
,Il Vagabondo Restaurant,351 East   62 Street,Manhattan,,US,10065.0,"(-73.96117869999999, 40.7619226)",,,Italian
,Don Peppe,13558 Lefferts Boulevard,Queens,,US,11420.0,"(-73.8216767, 40.6689548)",,,Italian
,Mcdwyers Pub,331 East  204 Street,Bronx,,US,10467.0,"(-73.87786539999999, 40.8724377)",,,Irish
,Blarney Rock,137 West   33 Street,Manhattan,,US,10001.0,"(-73.98926, 40.7509054)",,,Irish
,Irish Cottage,108-07 72 Avenue,Queens,,US,11375.0,"(-73.8236419, 40.7261682)",,,Irish
,Fascati'S Pizzeria,80 Henry Street,Brooklyn,,US,11201.0,"(-73.9927131, 40.6984887)",,,Pizza/Italian
,The Riviera Cafe,225 West    4 Street,Manhattan,,US,10014.0,"(-74.0027865, 40.7340505)",,,American
,Roll-N-Roaster,2901 Emmons Avenue,Brooklyn,,US,11235.0,"(-73.9396213, 40.5841703)",,,American
,Tamaqua,84 Ebony Court,Brooklyn,,US,11229.0,"(-73.9300062, 40.5943553)",,,American
,Munchtime,21 East  170 Street,Bronx,,US,10452.0,"(-73.9168424, 40.8401362)",,,American
,Mexico Lindo Restaurant,459 2 Avenue,Manhattan,,US,10010.0,"(-73.979839, 40.739796)",,,Mexican
,Broome Street Bar,363 West Broadway,Manhattan,,US,10013.0,"(-74.0029643, 40.7231081)",,,American
,Emerald Pub,308 Spring Street,Manhattan,,US,10013.0,"(-74.0084936, 40.7258072)",,,American
,Tap Room,180 Central Park South,Manhattan,,US,10019.0,"(-73.9788694, 40.7665961)",,,American
,Cocktail Room (Nyac),180 Central Park South,Manhattan,,US,10019.0,"(-73.9788694, 40.7665961)",,,American
,Buddy'S Wonder Bar,17 Harrison Avenue,Staten Island,,US,10302.0,"(-74.1350211, 40.6369042)",,,American
,Mr Broadway Kosher Restaurant,1372 Broadway,Manhattan,,US,10018.0,"(-73.9870818, 40.7523004)",,,Jewish/Kosher
